"","id","name_long","bev_total","bev_male","bev_female"
"502","08231000","Pforzheim, Stadtkreis",125542,61699,63843
"503","08235","Calw, Landkreis",158397,79514,78883
"504","08235006","Altensteig, Stadt",10799,5452,5347
"505","08235007","Althengstett",7962,4033,3929
"506","08235008","Bad Liebenzell, Stadt",9573,4715,4858
"507","08235018","Dobel",2319,1144,1175
"508","08235020","Ebhausen",4772,2410,2362
"509","08235022","Egenhausen",2009,1012,997
"510","08235025","Enzklösterle",1249,645,604
"511","08235029","Gechingen",3658,1820,1838
"512","08235032","Haiterbach, Stadt",5761,2880,2881
"513","08235033","Bad Herrenalb, Stadt",7948,3890,4058
"514","08235035","Höfen an der Enz",1767,902,865
"515","08235046","Nagold, Stadt",22294,11145,11149
"516","08235047","Neubulach, Stadt",5624,2805,2819
"517","08235050","Neuweiler",3109,1606,1503
"518","08235055","Oberreichenbach",2831,1426,1405
"519","08235057","Ostelsheim",2437,1224,1213
"520","08235060","Rohrdorf",1957,991,966
"521","08235065","Schömberg",7991,3981,4010
"522","08235066","Simmersfeld",2101,1088,1013
"523","08235067","Simmozheim",2936,1461,1475
"524","08235073","Unterreichenbach",2417,1221,1196
"525","08235079","Bad Wildbad, Stadt",10130,5041,5089
"526","08235080","Wildberg, Stadt",10069,5090,4979
"527","08235084","Bad Teinach-Zavelstein, Stadt",3094,1600,1494
"528","08235085","Calw, Stadt",23590,11932,11658
"529","08236","Enzkreis, Landkreis",198905,98744,100161
"530","08236004","Birkenfeld",10238,5049,5189
"531","08236011","Eisingen",4741,2281,2460
"532","08236013","Engelsbrand",4416,2163,2253
"533","08236019","Friolzheim",4136,2085,2051
"534","08236025","Heimsheim, Stadt",5035,2690,2345
"535","08236028","Illingen",7727,3858,3869
"536","08236030","Ispringen",6041,2953,3088
"537","08236031","Kieselbronn",3010,1471,1539
"538","08236033","Knittlingen, Stadt",8048,3969,4079
"539","08236038","Maulbronn, Stadt",6588,3252,3336
"540","08236039","Mönsheim",2804,1428,1376
"541","08236040","Mühlacker, Stadt",26076,12951,13125
"542","08236043","Neuenbürg, Stadt",8206,4141,4065
"543","08236044","Neuhausen",5203,2544,2659
"544","08236046","Niefern-Öschelbronn",12089,5974,6115
"545","08236050","Ötisheim",4727,2386,2341
"546","08236061","Sternenfels",2867,1420,1447
"547","08236062","Tiefenbronn",5385,2710,2675
"548","08236065","Wiernsheim",6810,3439,3371
"549","08236067","Wimsheim",2837,1412,1425
